participant,expPart,block,trial,condition,screenID,stepID,position,initial_item,final_item,npl_items,answer,acc,rt,updPos
1,training,2,8,training,retrieval,3,2,큼,르,까;문;보;컨;콤;평,르,TRUE,2978.300000011921,yes
1,training,2,8,training,retrieval,4,3,조,위,까;문;보;컨;콤;평,위,TRUE,2134.399999976158,yes
1,training,2,8,training,retrieval,5,0,뜻,뜻,까;문;보;컨;콤;평,뜻,TRUE,5718.5,no
1,training,2,8,training,retrieval,6,1,효,효,까;문;보;컨;콤;평,효,TRUE,957,no
1,training,2,9,training,memory,1,0,위,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,memory,2,1,문,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,memory,3,2,효,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,memory,4,3,보,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,memory,5,4,까,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,memory,6,5,았,NA,NA,NULL,NA,NA,NA
1,training,2,9,training,updating,1,0,위,표,NA,NULL,NA,NA,yes
1,training,2,9,training,updating,2,1,문,뿌,NA,NULL,NA,NA,yes
1,training,2,9,training,updating,3,2,효,큼,NA,NULL,NA,NA,yes
1,training,2,9,training,retrieval,1,1,문,뿌,뜻;조;르;된;이;론,뿌,TRUE,2471.600000023842,yes
1,training,2,9,training,retrieval,2,5,았,았,뜻;조;르;된;이;론,았,TRUE,1762.5,no
1,training,2,9,training,retrieval,3,3,보,보,뜻;조;르;된;이;론,론,FALSE,1828.5999999642372,no
1,training,2,9,training,retrieval,4,0,위,표,뜻;조;르;된;이;론,표,TRUE,4656.600000023842,yes
1,training,2,9,training,retrieval,5,4,까,까,뜻;조;르;된;이;론,문,FALSE,1609.2999999523163,no
1,training,2,9,training,retrieval,6,2,효,큼,뜻;조;르;된;이;론,론,FALSE,3701.900000035763,yes
1,training,2,10,training,memory,1,0,문,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,memory,2,1,표,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,memory,3,2,효,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,memory,4,3,르,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,memory,5,4,뜻,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,2,10,training,updating,1,0,문,위,NA,NULL,NA,NA,yes
1,training,2,10,training,updating,2,4,뜻,보,NA,NULL,NA,NA,yes
1,training,2,10,training,updating,3,1,표,큼,NA,NULL,NA,NA,yes
1,training,2,10,training,retrieval,1,1,표,큼,조;까;았;례;밝;자,까,FALSE,1252.3999999761581,yes
1,training,2,10,training,retrieval,2,3,르,르,조;까;았;례;밝;자,르,TRUE,2323.099999964237,no
1,training,2,10,training,retrieval,3,2,효,효,조;까;았;례;밝;자,효,TRUE,7680.300000011921,no
1,training,2,10,training,retrieval,4,5,뿌,뿌,조;까;았;례;밝;자,뿌,TRUE,2344,no
1,training,2,10,training,retrieval,5,4,뜻,보,조;까;았;례;밝;자,문,FALSE,607.8000000119209,yes
1,training,2,10,training,retrieval,6,0,문,위,조;까;았;례;밝;자,자,FALSE,369.9000000357628,yes
1,training,3,11,training,memory,1,0,았,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,memory,2,1,표,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,memory,3,2,효,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,memory,4,3,뿌,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,memory,5,4,문,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,memory,6,5,르,NA,NA,NULL,NA,NA,NA
1,training,3,11,training,updating,1,5,르,뜻,NA,NULL,NA,NA,yes
1,training,3,11,training,updating,2,1,표,큼,NA,NULL,NA,NA,yes
1,training,3,11,training,updating,3,3,뿌,조,NA,NULL,NA,NA,yes
1,training,3,11,training,retrieval,1,5,르,뜻,위;보;까;높;렵;힘,았,FALSE,1156.800000011921,yes
1,training,3,11,training,retrieval,2,0,았,았,위;보;까;높;렵;힘,았,TRUE,1033.8999999761581,no
1,training,3,11,training,retrieval,3,2,효,효,위;보;까;높;렵;힘,조,FALSE,4743.199999988079,no
1,training,3,11,training,retrieval,4,3,뿌,조,위;보;까;높;렵;힘,조,TRUE,1244.199999988079,yes
1,training,3,11,training,retrieval,5,1,표,큼,위;보;까;높;렵;힘,뜻,FALSE,1206.199999988079,yes
1,training,3,11,training,retrieval,6,4,문,문,위;보;까;높;렵;힘,르,FALSE,513.3000000119209,no
1,training,3,12,training,memory,1,0,위,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,memory,2,1,았,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,memory,3,2,뜻,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,memory,4,3,조,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,memory,5,4,보,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,memory,6,5,르,NA,NA,NULL,NA,NA,NA
1,training,3,12,training,updating,1,0,위,큼,NA,NULL,NA,NA,yes
1,training,3,12,training,updating,2,5,르,까,NA,NULL,NA,NA,yes
1,training,3,12,training,updating,3,2,뜻,뿌,NA,NULL,NA,NA,yes
1,training,3,12,training,retrieval,1,2,뜻,뿌,표;문;효;컫;실;니,뿌,TRUE,4122.100000023842,yes
1,training,3,12,training,retrieval,2,1,았,았,표;문;효;컫;실;니,았,TRUE,1520.1000000238419,no
1,training,3,12,training,retrieval,3,3,조,조,표;문;효;컫;실;니,조,TRUE,1823.699999988079,no
1,training,3,12,training,retrieval,4,5,르,까,표;문;효;컫;실;니,효,FALSE,2981.399999976158,yes
1,training,3,12,training,retrieval,5,4,보,보,표;문;효;컫;실;니,위,FALSE,613.6000000238419,no
1,training,3,12,training,retrieval,6,0,위,큼,표;문;효;컫;실;니,문,FALSE,284.19999998807907,yes
1,training,3,13,training,memory,1,0,뜻,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,memory,2,1,표,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,memory,3,2,큼,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,memory,4,3,뿌,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,memory,5,4,효,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,memory,6,5,문,NA,NA,NULL,NA,NA,NA
1,training,3,13,training,updating,1,5,문,보,NA,NULL,NA,NA,yes
1,training,3,13,training,updating,2,2,큼,까,NA,NULL,NA,NA,yes
1,training,3,13,training,updating,3,1,표,위,NA,NULL,NA,NA,yes
1,training,3,13,training,retrieval,1,0,뜻,뜻,조;르;았;께;디;방,뜻,TRUE,4586.799999952316,no
1,training,3,13,training,retrieval,2,3,뿌,뿌,조;르;았;께;디;방,방,FALSE,2601.2000000476837,no
1,training,3,13,training,retrieval,3,1,표,위,조;르;았;께;디;방,위,TRUE,1997.699999988079,yes
1,training,3,13,training,retrieval,4,2,큼,까,조;르;았;께;디;방,까,TRUE,3833.600000023842,yes
1,training,3,13,training,retrieval,5,5,문,보,조;르;았;께;디;방,까,FALSE,344.19999998807907,yes
1,training,3,13,training,retrieval,6,4,효,효,조;르;았;께;디;방,보,FALSE,645.1999999880791,no
1,training,3,14,training,memory,1,0,뿌,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,memory,2,1,까,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,memory,3,2,효,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,memory,4,3,큼,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,memory,5,4,위,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,memory,6,5,표,NA,NA,NULL,NA,NA,NA
1,training,3,14,training,updating,1,4,위,았,NA,NULL,NA,NA,yes
1,training,3,14,training,updating,2,3,큼,보,NA,NULL,NA,NA,yes
1,training,3,14,training,updating,3,1,까,르,NA,NULL,NA,NA,yes
1,training,3,14,training,retrieval,1,3,큼,보,조;뜻;문;족;곳;가,가,FALSE,1968.3999999761581,yes
1,training,3,14,training,retrieval,2,4,위,았,조;뜻;문;족;곳;가,뿌,FALSE,1487.1000000238419,yes
1,training,3,14,training,retrieval,3,0,뿌,뿌,조;뜻;문;족;곳;가,뿌,TRUE,822.1999999880791,no
1,training,3,14,training,retrieval,4,1,까,르,조;뜻;문;족;곳;가,르,TRUE,1964.5999999642372,yes
1,training,3,14,training,retrieval,5,2,효,효,조;뜻;문;족;곳;가,문,FALSE,923.5,no
1,training,3,14,training,retrieval,6,5,표,표,조;뜻;문;족;곳;가,까,FALSE,477.4000000357628,no
1,training,3,15,training,memory,1,0,위,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,memory,2,1,뜻,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,memory,3,2,까,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,memory,4,3,표,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,memory,5,4,조,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,memory,6,5,보,NA,NA,NULL,NA,NA,NA
1,training,3,15,training,updating,1,1,뜻,효,NA,NULL,NA,NA,yes
1,training,3,15,training,updating,2,2,까,았,NA,NULL,NA,NA,yes
1,training,3,15,training,updating,3,4,조,큼,NA,NULL,NA,NA,yes
1,training,3,15,training,retrieval,1,1,뜻,효,문;르;뿌;승;증;웠,효,TRUE,5425.400000035763,yes
1,training,3,15,training,retrieval,2,5,보,보,문;르;뿌;승;증;웠,위,FALSE,1168.300000011921,no
1,training,3,15,training,retrieval,3,2,까,았,문;르;뿌;승;증;웠,았,TRUE,4488.800000011921,yes
1,training,3,15,training,retrieval,4,4,조,큼,문;르;뿌;승;증;웠,웠,FALSE,1398.6000000238419,yes
1,training,3,15,training,retrieval,5,3,표,표,문;르;뿌;승;증;웠,표,TRUE,1604.4000000357628,no
1,training,3,15,training,retrieval,6,0,위,위,문;르;뿌;승;증;웠,위,TRUE,1327.5,no
1,training,4,16,training,memory,1,0,문,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,memory,2,1,뜻,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,memory,3,2,효,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,memory,4,3,뿌,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,memory,5,4,르,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,memory,6,5,위,NA,NA,NULL,NA,NA,NA
1,training,4,16,training,updating,1,5,위,표,NA,NULL,NA,NA,yes
1,training,4,16,training,updating,2,1,뜻,조,NA,NULL,NA,NA,yes
1,training,4,16,training,updating,3,0,문,았,NA,NULL,NA,NA,yes
1,training,4,16,training,retrieval,1,2,효,효,큼;까;보;같;도;떠,뿌,FALSE,2615.300000011921,no
1,training,4,16,training,retrieval,2,5,위,표,큼;까;보;같;도;떠,위,FALSE,2221.5,yes
1,training,4,16,training,retrieval,3,4,르,르,큼;까;보;같;도;떠,표,FALSE,3009.2999999523163,no
1,training,4,16,training,retrieval,4,3,뿌,뿌,큼;까;보;같;도;떠,르,FALSE,7769.600000023842,no
1,training,4,16,training,retrieval,5,1,뜻,조,큼;까;보;같;도;떠,조,TRUE,2245.199999988079,yes
1,training,4,16,training,retrieval,6,0,문,았,큼;까;보;같;도;떠,위,FALSE,1555.5,yes
1,training,4,17,training,memory,1,0,르,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,memory,2,1,았,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,memory,3,2,까,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,memory,4,3,조,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,memory,5,4,표,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,4,17,training,updating,1,0,르,효,NA,NULL,NA,NA,yes
1,training,4,17,training,updating,2,4,표,뜻,NA,NULL,NA,NA,yes
1,training,4,17,training,updating,3,3,조,위,NA,NULL,NA,NA,yes
1,training,4,17,training,retrieval,1,2,까,까,문;보;큼;치;칭;예,까,TRUE,7617.5,no
1,training,4,17,training,retrieval,2,5,뿌,뿌,문;보;큼;치;칭;예,표,FALSE,1338,no
1,training,4,17,training,retrieval,3,4,표,뜻,문;보;큼;치;칭;예,예,FALSE,1322.2000000476837,yes
1,training,4,17,training,retrieval,4,1,았,았,문;보;큼;치;칭;예,았,TRUE,1811.5,no
1,training,4,17,training,retrieval,5,3,조,위,문;보;큼;치;칭;예,위,TRUE,2195.300000011921,yes
1,training,4,17,training,retrieval,6,0,르,효,문;보;큼;치;칭;예,효,TRUE,2931.900000035763,yes
1,training,4,18,training,memory,1,0,효,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,memory,2,1,르,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,memory,3,2,위,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,memory,4,3,았,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,memory,5,4,뿌,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,memory,6,5,표,NA,NA,NULL,NA,NA,NA
1,training,4,18,training,updating,1,4,뿌,문,NA,NULL,NA,NA,yes
1,training,4,18,training,updating,2,3,았,보,NA,NULL,NA,NA,yes
1,training,4,18,training,updating,3,1,르,까,NA,NULL,NA,NA,yes
1,training,4,18,training,retrieval,1,5,표,표,큼;뜻;조;징;마;규,규,FALSE,1640,no
1,training,4,18,training,retrieval,2,1,르,까,큼;뜻;조;징;마;규,까,TRUE,2377.300000011921,yes
1,training,4,18,training,retrieval,3,4,뿌,문,큼;뜻;조;징;마;규,규,FALSE,1615.5999999642372,yes
1,training,4,18,training,retrieval,4,0,효,효,큼;뜻;조;징;마;규,효,TRUE,1917.199999988079,no
1,training,4,18,training,retrieval,5,3,았,보,큼;뜻;조;징;마;규,보,TRUE,5484.199999988079,yes
1,training,4,18,training,retrieval,6,2,위,위,큼;뜻;조;징;마;규,위,TRUE,1985.699999988079,no
1,training,4,19,training,memory,1,0,았,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,memory,2,1,뜻,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,memory,3,2,르,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,memory,4,3,위,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,memory,5,4,까,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,memory,6,5,문,NA,NA,NULL,NA,NA,NA
1,training,4,19,training,updating,1,2,르,표,NA,NULL,NA,NA,yes
1,training,4,19,training,updating,2,1,뜻,큼,NA,NULL,NA,NA,yes
1,training,4,19,training,updating,3,4,까,보,NA,NULL,NA,NA,yes
1,training,4,19,training,retrieval,1,1,뜻,큼,효;뿌;조;날;특;극,효,FALSE,1297.1000000238419,yes
1,training,4,19,training,retrieval,2,5,문,문,효;뿌;조;날;특;극,극,FALSE,2513.400000035763,no
1,training,4,19,training,retrieval,3,3,위,위,효;뿌;조;날;특;극,위,TRUE,3370.100000023842,no
1,training,4,19,training,retrieval,4,0,았,았,효;뿌;조;날;특;극,았,TRUE,3277.699999988079,no
1,training,4,19,training,retrieval,5,2,르,표,효;뿌;조;날;특;극,표,TRUE,1826.8999999761581,yes
1,training,4,19,training,retrieval,6,4,까,보,효;뿌;조;날;특;극,표,FALSE,3262.800000011921,yes
1,training,4,20,training,memory,1,0,보,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,memory,2,1,조,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,memory,3,2,까,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,memory,4,3,큼,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,memory,5,4,르,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,memory,6,5,위,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,updating,1,3,큼,표,NA,NULL,NA,NA,yes
1,training,4,20,training,updating,2,1,조,문,NA,NULL,NA,NA,yes
1,training,4,20,training,updating,3,5,위,뿌,NA,NULL,NA,NA,yes
1,training,4,20,training,retrieval,1,0,보,보,뜻;았;효;드;눈;낼,보,TRUE,2130.699999988079,no
1,training,4,20,training,retrieval,2,1,조,문,뜻;았;효;드;눈;낼,낼,FALSE,955.7999999523163,yes
1,training,4,20,training,retrieval,3,3,큼,표,뜻;았;효;드;눈;낼,위,FALSE,2684.399999976158,yes
1,training,4,20,training,retrieval,4,5,위,뿌,뜻;았;효;드;눈;낼,르,FALSE,1373.1000000238419,yes
1,training,4,20,training,retrieval,5,2,까,까,뜻;았;효;드;눈;낼,까,TRUE,4282.600000023842,no
1,training,4,20,training,retrieval,6,4,르,르,뜻;았;효;드;눈;낼,르,TRUE,5189.800000011921,no
1,training,5,21,training,memory,1,0,표,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,2,1,큼,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,3,2,뿌,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,4,3,았,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,5,4,까,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,6,5,뜻,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,updating,1,5,뜻,보,NA,NULL,NA,NA,yes
1,training,5,21,training,updating,2,2,뿌,르,NA,NULL,NA,NA,yes
1,training,5,21,training,updating,3,4,까,위,NA,NULL,NA,NA,yes
